cnf_path,clause_count,var_count,tseitin_var_count,compile_time,timestamp,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_075.cnf,17634,8169,2819,0.000,1710336386.5022526,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR,MEM_ERR
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_003.cnf,500,200,100,0.000,1710336987.2653587,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_007.cnf,539,200,100,0.318,1710336987.6346488,87,600,98,633,87,241,98,274,31,131,60,172
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_121.cnf,20635,9386,2828,186.610,1710337201.5638855,488389,36231691,488623,36276850,488389,25812495,488623,25857654,488354,25798468,488594,25870855
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_031.cnf,1888,777,507,2.722,1710338104.0948422,25816,781781,25823,782338,25816,208478,25823,209035,24653,185819,24708,206962
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_105.cnf,24552,10926,3449,0.000,1710338714.9938703,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_051.cnf,2236,1060,735,1.298,1710338716.873513,21405,274409,21526,274859,21405,87838,21526,88288,19720,64003,20004,85539
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_139.cnf,19238,6615,5761,0.000,1710339322.7797832,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_107.cnf,8311,3045,1528,28.129,1710339357.5344305,13860,13593010,13861,13597486,13860,8017083,13861,8021559,13860,8017083,13861,8021559
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_093.cnf,5667,2065,1060,1.890,1710339684.8308458,722,566087,723,566313,722,337767,723,337993,722,337767,723,337993
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_011.cnf,321,120,60,0.599,1710339696.6899102,8327,49445,8361,55499,8327,30810,8361,36864,7816,19762,7854,31982
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_015.cnf,564,200,100,0.315,1710339698.8296115,20,219,34,234,20,99,34,114,5,82,28,105
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_055.cnf,2770,1332,908,3.351,1710339703.7730608,56799,817736,57014,818576,56799,226291,57014,227131,53126,174204,53517,222652
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_061.cnf,2494,568,197,0.000,1710340319.336141,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_085.cnf,4974,1112,393,0.000,1710340919.937529,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_137.cnf,14474,5155,4779,0.000,1710341520.6198566,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_021.cnf,1189,586,388,0.398,1710341521.085299,2404,24765,2469,24939,2404,6882,2469,7056,1805,5017,1980,6609
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_079.cnf,3893,1548,913,0.446,1710341522.044295,1035,31584,1316,32483,1035,14281,1316,15180,998,14213,1283,15147
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_099.cnf,5216,1843,968,82.786,1710341657.1562262,347044,76207823,347045,76207872,347044,33418754,347045,33418803,347044,33418754,347045,33418803
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_037.cnf,1776,781,583,1.085,1710342653.927032,15890,212309,15893,212380,15890,67102,15893,67173,14825,49898,14985,65754
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_115.cnf,24476,10908,3449,0.000,1710343258.352416,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_163.cnf,43212,15011,14297,0.000,1710343859.1064165,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_185.cnf,22421,7657,7312,0.000,1710344459.927726,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_133.cnf,31795,9638,6358,566.516,1710345026.8014097,1,16098,1,16098,1,5724,1,5724,1,5724,1,5724
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_157.cnf,14402,5107,4756,0.000,1710345629.135218,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_197.cnf,126997,50461,21516,0.000,1710346230.6181998,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_009.cnf,369,140,70,0.479,1710346231.2452838,4010,28108,4029,29363,4010,14836,4029,16091,2380,5158,2412,7680
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_101.cnf,6893,2815,1060,1.996,1710346234.4375231,722,789647,723,789854,722,547848,723,548055,722,547848,723,548055
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_001.cnf,350,140,70,0.000,1710346855.688653,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_195.cnf,57754,23492,13141,0.000,1710347456.6805656,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_103.cnf,2152,586,243,4.503,1710347463.691117,52370,3429272,52370,3429272,52370,2157644,52370,2157644,52370,2157644,52370,2157644
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_013.cnf,255,100,50,0.603,1710347510.6203861,9227,57536,9255,64393,9227,32966,9255,39823,4169,6669,4205,12129
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_109.cnf,24836,10995,3449,0.000,1710348112.9199655,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_141.cnf,19474,6725,5838,0.000,1710348713.6379962,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_037.cnf,1888,777,507,2.702,1710348717.2545187,25816,781781,25823,782338,25816,208478,25823,209035,24653,185819,24708,206962
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_005.cnf,250,100,50,14.019,1710348751.9225879,400354,2376384,400397,2664669,400354,1361397,400397,1649682,1,0,50,49
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_105.cnf,8914,3498,2433,0.000,1710349418.0496683,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_011.cnf,523,200,100,45.572,1710349490.653742,951218,6225584,951270,6864731,951218,4087633,951270,4726780,858989,2344914,859051,4175351
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_093.cnf,4669,1736,1547,1.765,1710349734.0366735,7949,390408,8030,390619,7949,28841,8030,29052,6285,21892,6435,27547
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_193.cnf,57946,25615,9241,0.000,1710350338.2568681,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_063.cnf,2236,1060,735,1.318,1710350340.1144936,21405,274409,21526,274859,21405,87838,21526,88288,19720,64003,20004,85539
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_149.cnf,44709,17918,8694,2.698,1710350348.769721,14248,285500,14280,285532,14248,146869,14280,146901,14216,146837,14248,146901
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_049.cnf,1964,795,507,5.204,1710350362.935091,50752,1470716,50759,1471913,50752,429454,50759,430651,49214,393816,49270,429360
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_099.cnf,7454,1656,589,0.000,1710350984.0097373,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
